Review_Date,Reviewer_Nationality,negative,positive,score
26/09/2022, United Kingdom , Could be quite noisy due to road nearby and impatient drivers and the parking cost was a little disappointing but this wasn t a deal breaker due to the excellent location of the hotel I had some trouble with the air con but if I had asked sooner this wouldn t have been a problem , Lovely and helpful staff tasty breakfast and decent rooms This is a tidy and recently refurbished hotel The location less than half a mile from Ealing Common tube station and a sainsburys local made this a brilliant place to stay The locals we spoke to were polite and helpful too ,9.6
26/09/2022, United Kingdom ,No Negative, The beds were very comfortable really convenient central location Staff were lovely ,9.6
26/09/2022, United Kingdom ,No Negative, Great experience,10
26/09/2022, India , Location and No Health Fasterns In WC , Only Hotel Room And Bathroom,6.3
26/09/2022, Ireland ,No Negative, Location we had to take an early train out of Victoria and we were within a few mins walk of station ,9.2
26/09/2022, United Kingdom , The loud music in the bar area in the evening The over all cost was a bit expensive for what you get but I suppose that s the down side to being in the centre of London, Staff very friendly and helpful rooms clean and tidy and well stocked Afternoon music was lovely and in the background ,8.8
26/09/2022, United Kingdom , Arrived early room wasn t ready so the receptionist took our telephone number and assured us that she would contact us as soon as the room was ready we waited around for many hours but we didn t receive that call we had to go back to the hotel in the evening just to make sure we had a room, The location was perfect for travelling around London room was very clean and comfortable,9.6
26/09/2022, United Kingdom , Poor shower strange residue left in the kettle Bed too soft , Good location near Earl s Court underground Big TV free wifi ,7.1
25/09/2022, United Kingdom , All pretty much ok, Very small room but adequate for one night Very handy for Mayfair area restaurants etc ,7.5
25/09/2022, Ireland , The heating wasn t working in the room reported it and I was told I could have a plug in radiator for the room It obviously is an ongoing problem No apologies were made either The room was cold The only heat we had was from the towel rail in the bathroom Highly unacceptable for the price of the rooms Also domestic staff start cleaning early So we were woken early There was also some one drilling into the wall next door and wallpapering They all chatting to the domestic staff at full voice right outside the door The noise of that brush banging off the skirting is enough to drive anyone insane at 0730 am Despite having the do not disturb sign on the door housekeeping still knocked at 0930 This all occured on the same morning Safe to say there was zero lay in , Very comfortable bed Great coffee and tea making facilities Speciality tea s too Fresh milk delivered to room each morning Perfect shower and samples to use Ice machine down the hall is nice touch ,6.7
25/09/2022, United States of America , Can t think of anything Maybe the breakfast menu can have more variety , Location is excellent conveniently next to Gare de Lyon which is a major train station and has lots of food shops and other stores inside Staff is very helpful specially Roseanna at the desk Kids play area is nice ,8.8
25/09/2022, United Kingdom , the abruptness of some of the breakfast staff some of the serving staff were very helpful and kind the front of house however was quite rude in her approach the area around the hotel doesn t feel particularly safe with a young child There were quote a few homeless people taking refuge beside the entrance and to the right of the hotel on the steps between the main train station and the hotel entrance It put me on edge a little and the smells were fairly unpleasant , reception staff were very helpful even though the lady who checked us in was being trained at the time we didn t mind at all The room was clean tidy and comfortable,6.7
25/09/2022, Germany , Unfortunately no bar or restaurant Very good breakfast though , The stuff was friendly and helpful I had a very comfortable stay and slept extremely well If the location suits you not central of course but not too far from Hendon Central Station either it s really a nice place to stay ,9.2
25/09/2022, Italy , bath tub, location,7.9
25/09/2022, United Kingdom , Room too tight and small and bit run down, Location and staff welcome,7.1
25/09/2022, United Kingdom , Nothing to dislike, The room was very compact and bijou however could not fault any of the visit experience and the towels were extra fluffy too ,10
25/09/2022, Belgium , The bed was too small and the matress was bumpy , the breakfast was good and the staff friendly,8.8
25/09/2022, United Kingdom , Service charge on bar drinks and Saturday buffet lunch, Friendly helpful staff,9.6
24/09/2022, United Kingdom ,No Negative, Brilliant location for shopping comfy single room which although wasn t spacious was surprisingly quiet and had everything I needed Great choice at breakfast Friendly staff Will stay there again ,8.3
24/09/2022, Switzerland ,No Negative, Hoxton is a hip and lively hotel well placed for the west end Breakfast is excellent Rooms are a little over designed at the expense of being great to work in ,7.5
24/09/2022, United Kingdom , Would have liked a choice of pillow they were really really soft and both of us woke up with a bad back Did ask for more firm pillow but one received wasn t much different , Excellent location with ease of access to nearby tube station only 10 mins walk and car park ,8.3
24/09/2022, United Kingdom , Drinks and food are very pricey Which makes you want to eat and drink outside the hotel , Trendy hotel great location easy access to all locations very quiet at night enabling a good nights sleep,7.5
24/09/2022, United Kingdom , The room service food was poor and the robes were not in the room , The breakfast was very good The bed and room was very comfortable and perfect location ,7.5
24/09/2022, United Kingdom , Bit rushed and stressful breakfast for a Sunday buffett jam packed and queues and staff clearing very quickly as more and more people came down , Room nice smellies in bathroom the best Noisy with traffic and all outside Cocktails superb ,7.5
24/09/2022, United Kingdom ,No Negative, Great quality throughout,10
24/09/2022, United Kingdom ,No Negative, The staff location cleanliness,10
24/09/2022, France ,No Negative, Very convenient for the Gare Montparnasse but in a quiet street The staff were very helpful and the room was typically french in decoration with a very comfortable bed The breakfast was super ,9.2
24/09/2022, United Kingdom ,No Negative, Brilliant hotel all round wonderful attentive staff with great facilities and a lovely room,10
23/09/2022, United Kingdom , Room a little to hot, The location,8.8
23/09/2022, Estonia , A bit too formal , Bed was excellent great design of the rooms Beautiful hotel ,9.2
23/09/2022, Canada , Poverty around the hotel Feel unsafe late at night outdoor, Very good location and the heated pool for the kids,9.6
23/09/2022, Italy ,No Negative, Everything was really great included the stuff ,10
23/09/2022, China , The room is quite small as everywhere else in Paris People yelling in the street at 11 pm the hotel is in front of the Olympia s back door is not very pleasant even though it is out of the hotel s control The room service came twice in the afternoon and entered the room for no apparent reason and retreated immediately after realizing I was there It doesn t feel safe , The bed is very confortable Very pleasant stay ,8.3
23/09/2022, United Kingdom ,No Negative, Attention to detail comfort and atmosphere,10
23/09/2022, Canada , The room s size, The location ,6.3
23/09/2022, Romania , Heating not working in January Took some time to repair it,No Positive,7.9
23/09/2022, Vietnam , It would have been good if there was a bar in the hotel , Staff were really helpful Nothing was too much for them ,9.6
23/09/2022, Saudi Arabia , When we first checked in we asked the receptionist if breakfast was included or not she said definitely not and it will cost you per person and then when we checked out we were surprised that breakfast was actually included in both rooms And they charged us for it I missed few things of my stuff i felt someone is definitely going in our room when we re not there and playing with our stuff and take whatever one day i found a cloth next to my cosmetics and the cloth was very wet and dirty Never saw something like that And they told us the snack bar is for free and when i checked it out it was all used by the previous guests They didnt bother to get us new snacks And they floors under the dresser were so dirty and one day i found oneof my things under the table i knew the clening lady man wasn t so good at all A lot of mistakes, Spacious royal great location classy,7.5
23/09/2022, United Kingdom ,No Negative, Had a lovely stay this really is a great place to stay Great staff and location ,10
22/09/2022, United Kingdom , Bed like concrete pillows non existent The shower leaked all over the bathroom, Dreadful hotel would not recommend a stay here ,3.8
22/09/2022, United Kingdom , Prices a little high in the bar, Rooms and beds were so comfortable Breakfast was amazing Staff were wonderful ,10
22/09/2022, Ireland , You had to give your key to reception each time you left the hotel , Ideally located to all the main attractions ,7.9
22/09/2022, United Kingdom ,No Negative, The service was some of the best I have received in the world The staff are outstanding and the facilities are wonderful ,10
22/09/2022, United Kingdom , Breakfast was not included I paid for it for the first morning but the English breakfast was cold The plates were cold too though stored in a cupboard which ought to have kept them hot I did not bother with breakfast on day 2, Clean comfortable bed good shower etc The Staff were very pleasant ,9.6
22/09/2022, United Kingdom , Nothing , The smart decor and lovely views of Kensington Gardens are always a treat Everything in the rooms is crisp and new The location do bear to a High Street Ken is perfect for me as I use Paddington and shop in the Kings Rd ,9.6
22/09/2022, New Zealand ,No Negative, Location was great just across from Victoria station friendly staff nice room would stay there again,8.8
22/09/2022, Romania ,No Negative, The hotel s location is very nice the receptionists are very welcoming and very helpful to any problem or question To the Privilege type of room in which the minibar and cofee expresor were free were nice we had our tea and cofee in every morning in our room Everyone should know that for the room a 300 euro deposit will be blocked from your account during the stay amount which will be unlocked at the time of your check out but depending on the country where you are from or the bank that you are working with the unlocking of this amount can take up to 3 weeks this is a normal banking procedure ,10
22/09/2022, United Kingdom , Overheated rooms, Easy location comfortable rooms good breakfast,6.3
22/09/2022, United States of America , Rooms were a little noisy Could here everything that happened on the streets , Great location Easy access to all of London s major attractions and theaters,9.2
22/09/2022, India , The room safe was broken They were inflexible in either offering a room change or a practical solution One of the purpose to get a hotel was to leave my valuables in the room The entire purpose was lost and I had the stress of carrying my passport jewelry etc all over London Also the room was very small , Location,4.6
22/09/2022, United Kingdom , A SMALL POINT BUT A SWIMMING POOL AND SPA WOULD HAVE BEEN THE CHERRY ON THE CAKE, IF ONLY HOTELS SUCH AS THE SHARD HAS STAFF AS HELPFUL AND HAPPY AS AT THIS HOTEL AMAZINGLY WARM AND FRIENDLY,9.6
22/09/2022, United Kingdom , Breakfast finished really early on the sunday We d been at an event in the hotel the night before till late were turned away at 10 30 rather rudely as paying customers breakfast wasn t included in our room rate 8 of us too, Coffee machine and tea making was excellent,8.8
21/09/2022, United Kingdom , The shower was very cramped I couldn t stand up in it ,No Positive,7.1
21/09/2022, Denmark , I had a good stay and I can t think of anything I didn t like , Very friendly staff excellent greeting upon arrival Located in a great area with good restaurants theaters and much more nearby and a short walk from the Opera and Lafayette among other things The room was very small not unusual for Paris but very cosy and comfy The bathroom was quite big and very nice with marble towel heater and several amenties The room had heating through a small faux fireplace which was quaint and gave the room a homey feel For what I got it was a great value I did not try their breakfast ,9.2
21/09/2022, United States of America ,No Negative, Great stay Wonderful staff comfortable room and perfect location Ordered the traditional breakfast room service for one person and it was big enough to feed all 3 in our family ,10
21/09/2022, Romania , Small details Nothing important , This was the best hotel I ever stay It is perfect for people who like modern places Even the room is not big is very comfortable and good looking Personal is very friendly The club is the place where you want to be when you are in the hotel The club is actually your leaving room from the hotel Snacks and drinks are included all day long there are books macs and boarding game available All on very relaxing ambience music When you retire to your room you can choose from a movie library available on TV all included Thanks Ciprian,10
21/09/2022, Netherlands , Nothing, Beautiful historical setting but with modern functionality Great staff ,9.2
21/09/2022, United Kingdom , Corridor to room looks and smell a little old , Location is great,7.9
21/09/2022, United Kingdom ,No Negative, The hotel staff went out of their way to make our stay special as it was our anniversary The location is great walking distance to most museums ,9.2
21/09/2022, Malta , Wifi in room wasn t good,No Positive,8.8
21/09/2022, United States of America , The room was very small and old , Location,4.6
21/09/2022, United Kingdom , The food and bar are very expensive, The room was spacious and clean The staff were welcoming and helpful,10
20/09/2022, Kuwait , Sometimes there is noise from the Pubs and restaurants in the area under the hotel s windows , The Hotel location was very good and between many shopping and touristic facilities the staff was helpful and friendly ,9.2
20/09/2022, France , Love the Hoxton however they really need to be able to control the fresh air My room was cold even though AC was off I have stayed at the hoxton in Amsterdam and London Generally great experiences ,No Positive,9.2
20/09/2022, United Arab Emirates ,No Negative, Clean and excellent location ,10
20/09/2022, Belgium , I missed a Nesspresso machine in the room The room s lights schema is very complicated making it almost impossible to go to the bathroom during the night without wakening your partner Impossible to see the sky from the very small room s window , excellent pool bathroom and location ,8.3
20/09/2022, South Africa , Although the hotel conveniently located it s rooms are small Both bath and shower are one thing Table space for work is not sufficient for a business traveller Staff not friendly I will not be returning to the hotel , Staff not friendly at all ,4.2
20/09/2022, United Kingdom , Expensive I paid 63 more for my room than my friends did Also I was almost charged for my room again on check out even though I had pre paid , Stayed with a group of friends had a fab time Loved the room had everything I needed Breakfast gorgeous Liked check out time of 12pm ,8.8
20/09/2022, Norway ,No Negative, Central location and good quality hotel at a reasonable price Excellent staff and service ,8.8
19/09/2022, Germany , Nothing to hate, Very nice and friendly staff The atmosphere is very buzzing And the free bottle of water at check out was a fantastic gesture that won me forever,10
19/09/2022, United Kingdom , I guess booking out could happily have stayed for much longer , Close location to theatreland and shops along with superb views particularly from roof top bar In addition the staff made our stay outstanding Nothing appeared to be too much trouble for them and having discovered that one of us was celebrating a birthday they signed a card and placed a lovely gift in our room ,9.6
19/09/2022, United States of America , Room a bit small but comfortable , Excellent helpful staff ,8.8
19/09/2022, United Kingdom , I paid extra for room with city view I was expecting a view of London Skyline but I had a view of a block of flats through a small window City View means your room faces the outside of the hotel whereas non view rooms overlook an internal courtyard which in my opinion is a better view than City View I don t think City View should be used in description as it s misleading , Friendly helpful staff modern clean hotel handy location for tourists Very comfortable room especially the bed we enjoyed perfect sleeps Breakfast was excellent with a wide choice on offer ,9.2
19/09/2022, United Kingdom , Air conditioning , Great view ,10
19/09/2022, United Kingdom , There wasn t much not to like , When you walk into your room and the first thing you see is the Eiffel Tower through the window you know things are going to be pretty good from there on in Ecxellent location in walking distance of so much and transport links right outside Even the guys in the bar next door were great ,10
19/09/2022, Denmark , The rooms are a little tired The housekeeping is rather slap dash and we had to change rooms because of cigaret smoke from other rooms But the staff at reception fixed that in a second , The staff at reception and information desk were fantastic ,7.5
19/09/2022, United Kingdom , The bar staff They need to get a grip and grow up Immature snooty wastes of spaces , Nothing The bar staff are very rude and most unhelpful ,2.5
19/09/2022, United Kingdom , the staff unforgettably bad,No Positive,4.6
18/09/2022, United Kingdom , the receptionist the day I checked out who wanted to kick me out at 12 00 knowing that when I checked IN the day before around 23 30 it had been agreed that I would check out at 13 00, The location,5
18/09/2022, Netherlands , Noisy extractor fans outside our room, Breakfast ,7.9
18/09/2022, Qatar ,No Negative, Nice quite place with great location The restaurant is very close also the Green park Hyde park Jogging there in morning with great pleasure ,7.9
18/09/2022, United Kingdom , The area lots of redevelopment resembling a building site in places but that s London I guess, We found our room was comfortable and spotlessly clean all the staff were excellent and Location was central to our needs ,9.2
18/09/2022, Egypt , The staff werent responsive at all I had a broken shower head for three days and i kept telling them please send someone to fix it nothing happened , Location Very close to earl s court station ,5.8
18/09/2022, United States of America , Some people were smoking on their balconies Could ve been a huge problem but wasn t for us , Location staff and facilities ,9.2
18/09/2022, United Kingdom , Prefer a bath aswell as shower in room, Bed very comfortable restaurant good friendly staff,9.2
18/09/2022, United Kingdom , No room for the cat , Tea was hot,5.8
18/09/2022, Poland , Compulsory blockage of funds for potential expenses , Perfect location for a weekend tour ,7.9
18/09/2022, Belgium , poorly organised hotel and staff breakfast was a complete chaos reception desk unfriendly towards our daughter 23 years old , magnificent swimming pools outside inside ,7.1
18/09/2022, United Kingdom , Cost of parking ,No Positive,7.1
18/09/2022, United Kingdom , Breakfast only starts at 7am and they opened at 7 05, View location,9.6
18/09/2022, United Kingdom , Bathroom very cramped Walk in shower would have been preferable, Comfortable bed,6.7
18/09/2022, Netherlands , Exceptional prices for diner Loudness of closing roomdoors Airco noise Washbassin drainage, Location close to Heathrow Shower Breakfast Staff,6.7
18/09/2022, United Arab Emirates , I thought breakfast was overpriced but can t comment on quality as we didn t have it went to Shepherd Market instead for a little over half the price, Location close to Shepherd Market and Green Park is excellent the facilities were perfectly adequate without being luxurious and we had a good night s sleep in comfortable beds ,7.9
18/09/2022, United Kingdom , Although clean the bath was badly chipped and the bathroom could have done with a lick of paint , The staff and fact we d been before ,7.5
17/09/2022, United Kingdom , Service charge on room service and at restaurant was excessive, All but one thing,7.1
17/09/2022, United Kingdom , We did not like the very small room and small bed , We did like the position But the room we had was very cloister phobia ,6.3
17/09/2022, Australia ,No Negative, The location next to train station makes it so easy to move around London ,8.3
17/09/2022, Netherlands , breakfast was included however not enough space to seat everyone staff very rude and impolite , location,5
17/09/2022, United Kingdom ,No Negative, The staff Mc Wilman and camilla were absolutely fantastic Nothing was to much trouble I will definitely come back just because of the staff Rooms nicely decorated food nice 5 ,10
16/09/2022, United States of America ,No Negative, The hotel is beautiful one of those places you would only find in Paris It is particularly special due to its close proximity to the Op ra House Paris is an amazing city and it s beauty translates into this exceptionally beautiful hotel The staff is also very attentive and professional I would stay there again and again ,10
16/09/2022, United Kingdom , Three beds in a room is very cramped Would not do more than one night with three beds in a room, So close to Victoria station,9.6
16/09/2022, Iran ,No Negative, The price is more expensive than quality,6.3
16/09/2022, Sweden , The bed may be a bit short for a tall person , Nice atmosphere and great breakfast Lovely to have a room with a terrace,9.6
16/09/2022, United Arab Emirates , The bed turns lumpy after a few hours The windows cannot be opened even though we were on the 3rd floor only so the room sometimes felt stuffy Also the noise from other rooms and the corridors can easily be heard inside the room However the noise from the street is minimized due to the double glass installed , The staff were great and the hotel offers a free of charge mobile phone with Internet access and free international phone calls ,6.3
16/09/2022, Indonesia , The main elevator was out of service We had to use the very small elevator We stayed on level 6 and we had to climb up the stairs due to the back up elevator only served to the 5th floor In the email we were informed that we would be given 6 free soft drinks but we got only 3 items instead until my first check out One of the male staff needed to be more friendly and he was a bit defensive when I asked him politely about my inconvenience His answer was ok but the way he answered was not ok , This is my first stay I love the spaciousness coziness and cleanness of the room nice bathroom the refreshments at the lobby was very entertaining very good location ,7.9
15/09/2022, Netherlands , Very small room Not possible to open the window, Atmosphere,7.1
15/09/2022, United Kingdom , The USP of the hotel is the rooftop bar but we weren t told when we checked in that you had to book to go there So we weren t able to visit the bar that evening as we would have liked ,No Positive,8.3
15/09/2022, United Kingdom , Bit expensive but worth it, Just a great quality hotel fantastic to treat yourself for a weekend,9.6
15/09/2022, United Kingdom , The staff in the bar were less than attentive and we needed to chase them But otherwise the reception staff and concierge and housekeeping staff were brilliant , Beautiful old world hotel in an excellent location ,9.6
15/09/2022, United Kingdom , Bathrooms small but adequate for a short stay , Lovely old building nice ambiance seating area in bar Bed was really comfortable ,8.8
15/09/2022, United Kingdom , Pool temperature too cold for the kids, Kids loved the games room with xbox giant ipad computer games great breakfast good size bedroom great quality big TV Literally next to Gare de Lyon,10
15/09/2022, United Kingdom ,No Negative, Big room Great bathroom,10
15/09/2022, United States of America , The first day I went for breakfast Sunday one of the greeters servers was rude , Lucie and Alex at the front desk were awesome very helpful and knowledgeable This hotel was in a great location right next to the train station The rooms were very nice and the breakfast buffet had a varied and wonderful selection of many foods for breakfast ,8.8
15/09/2022, United Kingdom , An awful room very dark shabby and dated furniture not very clean at all, Nothing I liked about the hotel apart from the location of the hotel ,3.3
15/09/2022, South Korea , room was a little bit small , breakfast was really good room was clean and had an AC ,7.5
15/09/2022, Malta , Waiting 3 hours on arrival my arrival time was around 12 noon, No 1 location and the excellent and help full staff No 2 the stunning views of the park from my room,9.2
14/09/2022, Australia , All good , Excellent location for shopping restaurants and access to metro Room is small but that is Paris Bed is super comfortable and shower is good Decorations of hotel is very quaint and staff were very helpful with good English language skills ,8.8
14/09/2022, Ireland ,No Negative, Excellent staff Great location Very comfortable room,10
14/09/2022, Thailand ,No Negative, The hotel is more appropriate for business trip Breakfast is also very good Staff are friendly and helpful ,9.2
14/09/2022, United Kingdom ,No Negative, The hotel is relatively new and as a result is immaculate where we saw including the public areas and the room There were some complimentary refreshments in the room which was a nice touch The bed was comfortable and as it was a king size it was very roomy The staff were very friendly both checking in and out and in the resteraunt for breakfast There was a very good selection for breakfast including good quality English breakfast and the usual cereals and pastries We had no issues and the hotel is well situated for both facilities and travel Shop right next door if you need any extras Very pleased all round ,10
14/09/2022, Netherlands ,No Negative, all was great staff always friendly not the first time I have stayed here,10
14/09/2022, Jersey ,No Negative, Easy access from Victoria station Confusing initially due to building work around station but once you knew exit to use only needed to exit station cross the road to hotel Staff very welcoming excellent breakfast the welcome cookies are delicious ,9.6
14/09/2022, United Kingdom ,No Negative, Excellent location for station Reception staff took trouble to make sure we had walk in shower as requested ,8.8
14/09/2022, France , Small room, All was good location staff cleanliness ,8.8
14/09/2022, Australia , Very busy atmosphere good for a business stay but not if you are looking to relax We received a room adapted for the disabled Not enough wardrobe space and lighting No space to leave our suitcases or to hang the towels , We stayed here for a week and were able to try out all facilities Extremely friendly efficient and helpful staff Excellent breakfast and restaurant Very tidy room and great mattress ,9.2
13/09/2022, United Kingdom , Nothing, Bed shower breakfast were fab ,10
13/09/2022, United Kingdom ,No Negative, Loved everything about the hotel The location is perfect only a 5 minute walk to the Arc de Triomph and about a 20 minute walk to the padlock bridge and Eiffel Tower The staff are very friendly and are always there to assist help you Can t comment on the food as we didn t eat in the hotel but I would definitely recommend this hotel and would return back to it ,10
